review_id,product,review_text,date
1,Vitamin C Serum,"This serum has completely transformed my skin. Dark spots are visibly fading after just three weeks of use.",2024-03-01
2,Vitamin C Serum,"The texture is very sticky and takes forever to absorb. Leaves a greasy film on my face all day.",2024-03-03
3,Vitamin C Serum,"Great results for brightening but the smell is quite strong and chemical-like. Not pleasant to use daily.",2024-03-05
4,Vitamin C Serum,"Ordered twice already. My skin tone has evened out significantly and I get compliments constantly now.",2024-03-07
5,Vitamin C Serum,"The bottle pump stopped working after a week. Had to pry it open to get the product out. Poor design.",2024-03-09
6,Retinol Night Cream,"After two months of consistent use my fine lines are noticeably reduced. Best anti-ageing product I've tried.",2024-03-02
7,Retinol Night Cream,"Caused severe redness and peeling on my sensitive skin even at the lowest concentration. Very disappointing.",2024-03-04
8,Retinol Night Cream,"Decent product but extremely overpriced compared to similar retinol creams available at the pharmacy.",2024-03-06
9,Retinol Night Cream,"The packaging is luxurious and the cream feels rich without being heavy. Absorbs beautifully overnight.",2024-03-08
10,Retinol Night Cream,"I reached out about a reaction I had and the team responded within an hour with a full refund. Exceptional service.",2024-03-10
11,Hyaluronic Acid Moisturiser,"Lightweight and deeply hydrating. My dry skin drinks it up and stays plump all day. Repurchasing for sure.",2024-03-11
12,Hyaluronic Acid Moisturiser,"Broke me out badly after just two days of use. Had to stop immediately. Not suitable for acne-prone skin.",2024-03-13
13,Hyaluronic Acid Moisturiser,"The 30ml bottle is tiny for the price they charge. Ran out in three weeks using it twice daily.",2024-03-15
14,Hyaluronic Acid Moisturiser,"Delivery arrived damaged — the seal was broken and the cream had leaked inside the box. Unhygienic.",2024-03-17
15,Hyaluronic Acid Moisturiser,"Absolutely no scent, non-greasy, and layers well under SPF. Exactly what a good moisturiser should be.",2024-03-19
16,SPF 50 Sunscreen,"Leaves a horrible white cast on my medium skin tone. Looks ghostly under any lighting. Unusable.",2024-03-12
17,SPF 50 Sunscreen,"Lightweight formula that disappears into skin with no cast. Finally an SPF I actually enjoy wearing.",2024-03-14
18,SPF 50 Sunscreen,"Took 14 days to arrive and the expiry date was only 4 months away. Logistics need serious improvement.",2024-03-16
19,SPF 50 Sunscreen,"Good sun protection and doesn't pill under makeup. The packaging is sleek and travel-friendly too.",2024-03-18
20,SPF 50 Sunscreen,"Price jumped 25% since my last order with zero change in formula or packaging. Feels like a money grab.",2024-03-20
21,Niacinamide Toner,"Pores look visibly smaller after two weeks. Skin feels balanced and less oily throughout the day.",2024-03-21
22,Niacinamide Toner,"The dropper leaks every time I use it. Half the product has been wasted soaking into the box. Infuriating.",2024-03-23
23,Niacinamide Toner,"Good ingredients but the alcohol content is too high for my dry skin. Feels very stripping after use.",2024-03-25
24,Niacinamide Toner,"Asked customer care about combining this with retinol and they gave me a detailed, helpful response same day.",2024-03-27
25,Niacinamide Toner,"Reasonable price for the size and quality. Much better value than the high-end brands with similar ingredients.",2024-03-29
26,Collagen Face Mask,"Instant plumping effect after just one use. Skin looks dewy and refreshed for about 48 hours after.",2024-03-22
27,Collagen Face Mask,"The mask slides off my face constantly during the 20-minute application. Very poorly fitted and frustrating.",2024-03-24
28,Collagen Face Mask,"Received the wrong variant — ordered brightening but got the anti-ageing version. Completely different product.",2024-03-26
29,Collagen Face Mask,"Individually wrapped masks are a nice touch and the packaging feels premium for the price point.",2024-03-28
30,Collagen Face Mask,"No visible results even after using the full box of six masks. Did not do anything it claimed on the box.",2024-03-30
